question,main_answer,sub_answer,level,examples,part_of_speech,kanji_string,meaning_string,reading_string,meaning_mnemonic
一,One,いち,1,"このレモン、一キログラム！？大きいですね！ 
 This lemon weighs a kilogram!? That's big! 

 レベル一です。 
 It's level 1. 

 このメロンはアメリカ一の大きさです。 
 This is the largest size melon in the United States.",numeral,一,One,"いち, いつ, ひと, かず","As is the case with most vocab words that consist of a single kanji, this vocab word has the same meaning as the kanji it parallels, which is one."
One,いち,一,1,"このレモン、一キログラム！？大きいですね！ 
 This lemon weighs a kilogram!? That's big! 

 レベル一です。 
 It's level 1. 

 このメロンはアメリカ一の大きさです。 
 This is the largest size melon in the United States.",numeral,一,One,"いち, いつ, ひと, かず","As is the case with most vocab words that consist of a single kanji, this vocab word has the same meaning as the kanji it parallels, which is one."
一つ,One Thing,ひとつ,1,"レモン、一つ下さい。 
 A lemon, please. 

 二つの川が、一つの大きな川になる。 
 The two rivers become one big river. 

 一つだけバニラにして下さい。 
 Please make one a vanilla.",numeral,一,One,"いち, いつ, ひと, かず","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for one plus つ. So, this one is one thing."
One Thing,ひとつ,一つ,1,"レモン、一つ下さい。 
 A lemon, please. 

 二つの川が、一つの大きな川になる。 
 The two rivers become one big river. 

 一つだけバニラにして下さい。 
 Please make one a vanilla.",numeral,一,One,"いち, いつ, ひと, かず","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for one plus つ. So, this one is one thing."
七,Seven,"なな, しち",1,"コウイチのラッキーナンバーは七です。 
 Koichi's lucky number is seven. 

 このパスタは、たったの七ステップでできますよ。 
 You can make this pasta in just seven steps. 

 七カラットのダイアモンドを下さい。 
 I would like a seven-carat diamond.",numeral,七,Seven,"しち, なな, なの","When a vocab is alone with no okurigana (that's hiragana attached to a kanji) it usually has the same meaning as the kanji too. That goes for this word as well. So, if you know the kanji's meaning (seven) you'll know the vocab's meaning (seven)."
Seven,"なな, しち",七,1,"コウイチのラッキーナンバーは七です。 
 Koichi's lucky number is seven. 

 このパスタは、たったの七ステップでできますよ。 
 You can make this pasta in just seven steps. 

 七カラットのダイアモンドを下さい。 
 I would like a seven-carat diamond.",numeral,七,Seven,"しち, なな, なの","When a vocab is alone with no okurigana (that's hiragana attached to a kanji) it usually has the same meaning as the kanji too. That goes for this word as well. So, if you know the kanji's meaning (seven) you'll know the vocab's meaning (seven)."
七つ,Seven Things,ななつ,1,"そのクッキー、七つ下さい。 
 Seven of those cookies, please. 

 テイクアウトで、うどんを七つオーダーしました。 
 I ordered seven udon to-go. 

 ドラゴンボールは七つある。 
 There are seven Dragon Balls.",numeral,七,Seven,"しち, なな, なの","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for seven plus つ. So, this one is seven things."
Seven Things,ななつ,七つ,1,"そのクッキー、七つ下さい。 
 Seven of those cookies, please. 

 テイクアウトで、うどんを七つオーダーしました。 
 I ordered seven udon to-go. 

 ドラゴンボールは七つある。 
 There are seven Dragon Balls.",numeral,七,Seven,"しち, なな, なの","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for seven plus つ. So, this one is seven things."
九,Nine,"きゅう, く",1,"ガソリンスタンドまで九マイルです。 
 It is nine miles to the gas station. 

 九ページをひらいてください。 
 Please open to page 9. 

 このビルには九フロアあります。 
 There are nine floors in this building.",numeral,九,Nine,"く, きゅう, ここの","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji), it often has the same meaning as the kanji it's based off of. Same goes for the word 九, as well. It has the same meaning as its kanji counterpart."
Nine,"きゅう, く",九,1,"ガソリンスタンドまで九マイルです。 
 It is nine miles to the gas station. 

 九ページをひらいてください。 
 Please open to page 9. 

 このビルには九フロアあります。 
 There are nine floors in this building.",numeral,九,Nine,"く, きゅう, ここの","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji), it often has the same meaning as the kanji it's based off of. Same goes for the word 九, as well. It has the same meaning as its kanji counterpart."
